date,n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
2024-02-03,1,0.0,2.01,2.01,2.01,24.74,161.34
2024-02-03,2,0.0,1.48,1.48,1.48,21.7675,161.3625
2024-02-03,3,0.0,1.85,1.85,1.85,18.795,161.385
2024-02-03,4,0.0,1.96,1.96,1.96,15.8225,161.4075
2024-02-03,5,0.0,1.22,1.22,1.22,12.85,161.43
2024-02-03,6,0.0,1.74,1.74,1.74,11.32,161.32750000000001
2024-02-03,7,0.0,1.35,1.35,1.35,9.79,161.22500000000002
2024-02-03,8,0.0,1.43,1.43,1.43,8.26,161.1225
2024-02-03,9,0.0,1.7,1.7,1.7,6.73,161.02
2024-02-03,10,0.0,1.89,1.89,1.89,7.675000000000001,161.755
2024-02-03,11,0.0,1.54,1.54,1.54,8.620000000000001,162.49
2024-02-03,12,0.0,1.46,1.46,1.46,9.565,163.22500000000002
2024-02-03,13,0.0,1.69,1.69,1.69,10.51,163.96
2024-02-03,14,0.0,1.45,1.45,1.45,10.015,164.9975
2024-02-03,15,0.0,1.22,1.22,1.22,9.52,166.03500000000003
2024-02-03,16,0.0,1.72,1.72,1.72,9.025,167.07250000000002
2024-02-03,17,0.0,1.29,1.29,1.29,8.53,168.11
2024-02-03,18,0.0,1.64,1.64,1.64,8.5975,168.67000000000002
2024-02-03,19,0.0,1.28,1.28,1.28,8.665,169.23000000000002
2024-02-03,20,0.0,1.72,1.72,1.72,8.7325,169.79
2024-02-03,21,0.0,1.12,1.12,1.12,8.8,170.35
2024-02-03,22,0.0,1.36,1.36,1.36,10.72,170.425
2024-02-03,23,0.0,1.66,1.66,1.66,12.64,170.5
2024-02-03,24,0.0,1.37,1.37,1.37,14.56,170.575
2024-02-03,25,0.0,1.44,1.44,1.44,16.48,170.65
2024-02-03,26,0.0,1.74,1.74,1.74,20.9025,172.0975
2024-02-03,27,0.0,2.26,2.26,2.26,25.325000000000003,173.54500000000002
2024-02-03,28,0.0,1.38,1.38,1.38,29.7475,174.9925
2024-02-03,29,0.0,1.57,1.57,1.57,34.17,176.44
2024-02-03,30,0.0,1.71,1.71,1.71,37.125,175.5075
2024-02-03,31,0.0,1.26,1.26,1.26,40.08,174.575
2024-02-03,32,0.0,1.56,1.56,15.31,43.035,173.6425
2024-02-03,33,2.75,0.95,3.7,110.95,45.99,172.71
2024-02-03,34,2.75,0.55,3.3,110.55,45.985,166.985
2024-02-03,35,2.75,0.91,3.66,110.91,45.98,161.26
2024-02-03,36,3.236188949499123,1.26,4.496188949499123,108.51,45.975,155.535
2024-02-03,37,7.310711980718054,0.86,8.170711980718053,97.11,45.97,149.81
2024-02-03,38,9.41312553369707,0.68,10.09312553369707,96.93,43.3825,147.685
2024-02-03,39,17.255243543150556,0.77,18.025243543150555,88.77,40.795,145.56
2024-02-03,40,34.4510663367535,0.77,35.2210663367535,83.27,38.2075,143.435
2024-02-03,41,44.0,0.68,44.68,77.68,35.62,141.31
2024-02-03,42,47.558637379809646,0.84,48.39863737980965,61.34,34.32,139.4475
2024-02-03,43,53.39902923639032,1.0,54.39902923639032,58.75,33.019999999999996,137.585
2024-02-03,44,60.43444840520177,1.1,61.53444840520177,53.35,31.72,135.72250000000003
2024-02-03,45,110.0,0.74,110.74,50.24,30.42,133.86
2024-02-03,46,110.0,0.97,110.97,44.97,30.46,133.315
2024-02-03,47,109.17686935024253,0.78,109.95686935024253,44.78,30.5,132.77
2024-02-03,48,102.10396114049924,0.55,102.65396114049923,39.05,30.54,132.22500000000002
2024-02-03,49,96.25,1.03,97.28,31.28,30.58,131.68
2024-02-03,50,93.03990708357487,0.55,93.58990708357487,25.3,30.59,131.495
2024-02-03,51,83.76009379767936,0.61,84.37009379767936,19.86,30.6,131.31
2024-02-03,52,79.62907812732736,0.92,80.54907812732736,14.67,30.61,131.125
2024-02-03,53,70.53350202065468,0.77,71.30350202065468,14.52,30.62,130.94
2024-02-03,54,52.25,0.77,53.02,14.52,33.15,133.60750000000002
2024-02-03,55,40.609188100007835,0.62,41.22918810000783,11.62,35.68,136.275
2024-02-03,56,31.432490020386048,0.8,32.232490020386045,9.05,38.21,138.9425
2024-02-03,57,22.398786013739965,0.56,22.958786013739964,8.81,40.74,141.61
2024-02-03,58,16.025160849782857,0.71,16.735160849782858,8.96,41.48,146.82
2024-02-03,59,13.75,1.03,14.78,6.53,42.22,152.03
2024-02-03,60,13.57409037686903,1.04,14.61409037686903,3.79,42.96,157.24
2024-02-03,61,8.25,1.02,9.27,3.77,43.7,162.45
2024-02-03,62,8.25,0.73,8.98,3.48,45.115,168.1825
2024-02-03,63,2.01919367442639,0.76,2.7791936744263896,3.51,46.53,173.915
2024-02-03,64,0.0,0.89,0.89,0.89,47.945,179.64749999999998
2024-02-03,65,0.0,0.72,0.72,0.72,49.36,185.38
2024-02-03,66,0.0,0.79,0.79,0.79,51.4775,188.74
2024-02-03,67,0.0,0.77,0.77,0.77,53.595,192.1
2024-02-03,68,0.0,0.78,0.78,0.78,55.7125,195.45999999999998
2024-02-03,69,0.0,1.92,1.92,1.92,57.83,198.82
2024-02-03,70,0.0,2.13,2.13,2.13,60.515,199.2575
2024-02-03,71,0.0,2.16,2.16,2.16,63.2,199.695
2024-02-03,72,0.0,2.39,2.39,2.39,65.88499999999999,200.1325
2024-02-03,73,0.0,2.0,2.0,2.0,68.57,200.57
2024-02-03,74,0.0,2.2,2.2,2.2,67.9225,196.2375
2024-02-03,75,0.0,1.95,1.95,1.95,67.275,191.905
2024-02-03,76,0.0,2.04,2.04,2.04,66.6275,187.5725
2024-02-03,77,0.0,1.39,1.39,1.39,65.98,183.24
