date,n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
2024-02-05,1,0.0,44.4,44.4,44.4,0.0,152.21
2024-02-05,2,0.0,43.8,43.8,43.8,-0.0075,152.41
2024-02-05,3,0.0,43.8,43.8,43.8,-0.015,152.61
2024-02-05,4,0.0,44.4,44.4,44.4,-0.0225,152.81
2024-02-05,5,0.0,44.4,44.4,44.4,-0.03,153.01
2024-02-05,6,0.0,43.2,43.2,43.2,-0.04,153.195
2024-02-05,7,0.0,40.8,40.8,40.8,-0.05,153.38
2024-02-05,8,0.0,41.4,41.4,41.4,-0.06,153.565
2024-02-05,9,0.0,39.6,39.6,39.6,-0.07,153.75
2024-02-05,10,0.0,40.8,40.8,40.8,-0.085,153.64
2024-02-05,11,0.0,41.4,41.4,41.4,-0.1,153.53
2024-02-05,12,0.0,42.0,42.0,42.0,-0.115,153.42000000000002
2024-02-05,13,0.0,41.4,41.4,41.4,-0.13,153.31
2024-02-05,14,0.0,40.2,40.2,40.2,-0.11,153.5775
2024-02-05,15,0.0,40.2,40.2,40.2,-0.09,153.845
2024-02-05,16,0.0,39.0,39.0,39.0,-0.07,154.1125
2024-02-05,17,0.0,37.2,37.2,37.2,-0.05,154.38
2024-02-05,18,0.0,38.4,38.4,38.4,0.0674999999999999,156.4375
2024-02-05,19,0.0,40.2,40.2,40.2,0.185,158.495
2024-02-05,20,0.0,39.6,39.6,39.6,0.3025,160.5525
2024-02-05,21,0.0,40.2,40.2,40.2,0.42,162.61
2024-02-05,22,0.0,39.6,39.6,39.6,10.0575,166.405
2024-02-05,23,0.0,45.6,45.6,45.6,19.695,170.2
2024-02-05,24,11.0,58.8,69.8,78.05,29.3325,173.995
2024-02-05,25,97.02972511516438,73.2,170.2297251151644,306.95,38.97,177.79
2024-02-05,26,63.45414944005477,78.6,142.05414944005477,312.35,43.955,179.2775
2024-02-05,27,44.398786013739965,84.0,128.39878601373997,317.75,48.94,180.765
2024-02-05,28,21.894028582980674,84.0,105.89402858298067,306.75,53.925,182.2525
